X,Time1-30m-5aA-s2,Time1-30m-1aA-s2,Time1-30m-3aA-s2,Time1-30m-4aA-s2,Time1-30m-2aA-s2,Time2-4h-2bA-s2,Time2-4h-3bA-s2,Time2-4h-1bA-s2,Time3-8h-1aA-s2,Time3-8h-2aA-s2,Time3-8h-3aA-s2,Time4-24hf-2aA-s2,Time4-24hf-3aA-s2,Time4-24hf-1aA-s2,Time5-72h-3aA-s2,Time5-72h-1aA-s2,Time5-72h-2aA-s2,Time6-21d-1bA-s2,Time6-21d-2aA-s2,Time6-21d-3aA-s2
AFFX-BioC-3_at,8.469153367,9.068247296,8.661818513,9.17061503220452,8.242628129,9.80943444195758,8.517997655,10.7359224987385,10.5230281234927,10.7075865036311,10.3992742927138,8.12783013,8.157583955,8.29201019037852,9.14307956936977,10.67409459,8.704816662,9.510786633,10.0893394248613,9.062322017
AFFX-BioC-5_at,8.598663345,9.259845749,8.712198575,9.27704525519557,8.859010067,10.3053909617235,9.155440255,11.2734741219848,10.8386700150076,10.8165346296114,10.5793853174749,8.336731579,8.322992372,8.57281629841869,9.23719757232582,11.16720722,8.682109192,9.544088025,9.53067420583409,9.242338489
AFFX-BioDn-3_at,8.855147744,11.19512325,11.56951744,10.849129513679,10.40595296,10.6863956120049,10.79309892,12.1017683487028,12.3944595934698,NA,12.5143778464785,11.44587367,11.64501163,11.5311645363337,11.7467176247613,11.77152693,11.67532498,12.07897528,8.24925444885664,11.6743523
AFFX-BioDn-5_at,8.589110155,9.472244874,9.183183865,9.90684924698459,8.870671345,10.6632451028782,8.77721655,11.6654878213372,11.1340938958185,11.4151264440931,10.967083920219,8.894108179,9.072151554,9.09935888933478,9.59890306069918,11.22314964,9.255705556,10.22547524,9.93272869699831,9.845143053
AFFX-CreX-5_at,9.083620657,11.62207552,11.52658546,10.8628128276808,10.89460695,11.9298998430263,9.984799544,12.532989937096,12.4926478777421,NA,12.8009938165566,11.43175278,11.35335585,11.7307629050308,11.8289781126155,12.34813643,11.56903406,11.92114229,9.54958697140694,11.59187968
AJ001929_s_at,7.81247238,8.099103337,8.135155336,7.63393068189903,8.219298604,9.91933273516376,8.368129235,8.34853681593669,10.1586508964871,9.64756463912117,10.0989187604165,8.108713319,8.315969485,8.27564747660906,9.75874874350443,9.701219493,8.491099412,8.304661028,7.61728012856687,8.798231641
AJ005984_at,7.666063555,7.500120656,8.684324014,7.71768675302471,7.753220089,7.53340867894179,8.279062091,7.50615854962922,9.66150662084242,9.35082423540459,8.87152967360145,8.295038853,8.930607328,7.65258263435106,7.68945377535341,7.523884862,8.543749391,7.513356537,7.52098756154693,7.73857645
AJ006340_s_at,7.850448498,8.384686056,8.451229878,8.0902033647773,8.226449485,7.81080945495179,7.883990946,7.54996737133502,8.83390246754669,9.00943139450903,8.77108105904443,8.316381197,8.296142199,8.56824267266543,8.43280839249264,8.950458091,8.091386204,7.846130889,7.61431157318969,8.014581733
AJ010351_s_at,7.650865838,7.593292137,7.863067285,7.62817919901794,7.781083169,7.71288918671486,8.271538999,8.18549959374676,7.58757828156818,7.53997638383951,7.55269125590844,7.567214942,7.6336928,7.52915561428914,7.56535582345947,7.633884477,7.566591494,7.702543147,7.76444103503044,7.806722425
D00189_at,7.499967417,8.718634195,11.58672204,7.57787616680018,7.987463721,7.51839542340096,9.783789252,7.44706731347302,11.6371573361102,11.3221014327795,11.6574600853843,11.50990662,10.30641465,10.9569211238803,9.56471497070854,10.847741,10.27040337,9.89951174,9.34829505774566,12.14092065
D00913_g_at,9.29813203,8.505021008,8.460814431,9.6368524729146,8.911710297,11.7153969024722,9.910548126,11.7615767029122,10.7841477725703,9.60889649417327,10.1202482388928,8.856565997,8.858982914,9.05153735197611,9.01057951269373,9.172621764,9.013019319,8.39625695,8.15810063279177,8.3932795
D10755_s_at,8.410563462,10.67914739,9.526848406,7.5189196894589,9.484149926,10.7508262044646,9.763926026,10.5383824944441,8.69287567380326,8.37495174559516,8.82909398295999,8.38265225,9.430621405,8.6132749249176,10.1955740306224,11.42522528,9.019287423,9.491828514,10.4056677966865,9.789467638
D10756_g_at,7.559376659,9.337132853,8.599744328,7.54905713333242,8.291103795,10.5096226524338,9.100799065,10.8967756403856,7.77566878489142,7.54573314588342,8.04465976223703,7.801990433,8.549317951,7.81761504112491,8.96511246478286,10.30860953,8.007153137,9.142180212,7.85198787548333,9.241752696
D12769_g_at,9.496926183,11.9995797,10.90456462,7.53006596319331,10.62543779,11.8978845790837,10.73088674,11.8343902169065,7.59368439718242,7.55281028395014,7.57608660030173,7.880975204,8.882750386,7.50720845583406,7.4324383496091,7.565331104,7.479749937,9.792295036,7.48003379809085,7.707307201
D13376_at,7.700251897,7.577538487,7.750831833,7.8149218585893,7.604790654,7.68619026246428,7.748485362,7.67012262797242,7.64985036003301,7.59701081313287,7.63708500258793,8.163367058,7.905594998,8.05014975140163,7.62773907195009,7.569115078,7.801334413,7.658757491,7.68991119519759,7.980708712
D14418_at,7.463767487,9.920907204,9.304266669,7.4849201155719,8.336022019,7.57317346571991,10.45291392,7.40034804425396,7.65634865401287,7.53521219890222,7.64242103949793,8.637278193,9.466793668,7.46646239645166,8.12887427386667,7.444117295,7.921759136,9.560593538,10.4614717541929,10.81054276
D25224_g_at,8.651556867,10.5246804,10.71992718,8.58328109390872,10.70643713,11.7056965884721,11.28619132,8.07066456202937,9.25312559977759,9.24362853534892,9.19607405737291,10.47090837,10.41887803,10.9272460177794,11.9035796013352,11.9590337,10.98105211,10.33063954,9.34295722145789,11.75518851
D29683_at,7.657556924,8.196341092,8.19714663,7.67373328246137,8.435640213,10.3813381288434,8.592786502,7.9814944447123,7.72331333040286,7.64397339790299,7.65015648874905,8.480531884,8.265919472,8.67763518715039,8.43551319867478,8.784903223,8.184863634,7.890557553,7.72383556347583,8.512512122
D45249_g_at,8.459099729,8.747069211,9.014235176,7.91270719135154,8.186408446,8.57982432768201,7.734832062,7.8078847900477,9.41237901748506,9.64838418859337,9.55721507461745,9.295180362,9.480251482,9.06985397807705,10.7010951697055,10.59825573,9.791819956,8.941715611,8.31723737279853,9.520435988
