"JMR-RatInj30m-5aA-s2"	"JMR-RatInj30m-1aA-s2"	"JMR-RatInj30m-3aA-s2"	"JMR-RatInj30m-4aA-s2"	"JMR-RatInj30m-2aA-s2"	"JMR-RatInj4h-2bA-s2"	"JMR-RatInj4h-3bA-s2"	"JMR-RatInj4h-1bA-s2"	"JMR-RatInj8h-1aA-s2"	"JMR-RatInj8h-2aA-s2"	"JMR-RatInj8h-3aA-s2"	"JMR-RatInj24hf-2aA-s2"	"JMR-RatInj24hf-3aA-s2"	"JMR-RatInj24hf-1aA-s2"	"JMR-RatInj72h-3aA-s2"	"JMR-RatInj72h-1aA-s2"	"JMR-RatInj72h-2aA-s2"	"JMR-RatInj21d-1bA-s2"	"JMR-RatInj21d-2aA-s2"	"JMR-RatInj21d-3aA-s2"
"AB006013_at"	12.3045025739692	12.3046154578602	12.3046235589848	12.3046308677875	12.3045497578695	12.3047646510872	12.3046672266168	12.3046669541568	12.3047427060273	12.3047099055896	12.3047579451962	12.3047637074745	12.3047543661172	12.3046349073856	12.3043772851148	12.3044386381913	12.3045423490001	12.3046919130188	12.3046831389779	12.3046970736721
"AB006450_at"	12.2887616413438	12.2895064002309	12.289104973256	12.2892108643547	12.2893172389381	12.2898063236524	12.2894690268871	12.2896125819321	12.2894743164745	12.2892399737115	12.2894212777788	12.2887667175672	12.288608502068	12.2890382246818	12.2889834825152	12.2896389065573	12.2886956672917	12.2896697822994	12.2895594717976	12.2896447649091
"AB006451_at"	12.2881604398161	12.2906265608145	12.2897827599906	12.2893858094744	12.2899435492342	12.2903516477323	12.289944131491	12.2900184226844	12.290026578284	12.2898740654105	12.2899552585465	12.289400152284	12.2890296381931	12.2892852852648	12.2895517379654	12.2904726579444	12.2893119209642	12.2900013143586	12.2899919081711	12.2902626575243
"AB006461_at"	12.2507111057232	12.2534281665011	12.2534763991324	12.2517266703423	12.2524783239135	12.2556168157395	12.2538589363434	12.2535904099196	12.2534700197249	12.2521546939311	12.2531105803793	12.2517409624607	12.2518225332549	12.2513491726833	12.2489790193781	12.2545867614364	12.2506242184795	12.2539197786029	12.2555746874027	12.255483438359
"AB006607_at"	12.2980237342539	12.2988491023345	12.2988493128024	12.2987382117142	12.2988437373699	12.2989907032354	12.2989620222612	12.2989067435285	12.2988471991733	12.2988049629437	12.298863050456	12.2986459921289	12.298451395865	12.2988704988719	12.2986371255783	12.2988215213631	12.2986478582764	12.2988105751679	12.2990632145346	12.2991707314026
"AB006607_g_at"	12.2911737177085	12.2913039598458	12.2914321295445	12.2911176995034	12.290945798242	12.2913401718263	12.2914257656519	12.2912596281919	12.2910063951552	12.2910283231647	12.2908814392836	12.2906526298929	12.2910581838838	12.2910824699606	12.2905701127606	12.291025005232	12.2908723945222	12.2909529388563	12.2913280471597	12.2913798623745
"AB006802_at"	12.3065265643262	12.3064015166471	12.3067593092053	12.3067293674538	12.3063982740251	12.3066641713806	12.3066465270754	12.3066764876749	12.3068866438052	12.3067852609799	12.3069722914456	12.3068436347439	12.3067390055619	12.3067608690215	12.3070360196327	12.3067330247205	12.306936349314	12.3067066477215	12.3067109401663	12.3067015783691
"AB006881mRNA_at"	12.3069880427071	12.307011791344	12.3071014642751	12.3070850187455	12.3070858868687	12.3070106476834	12.3070627653026	12.3071089606977	12.307162566784	12.3071203368179	12.3071967723269	12.3069698836418	12.306868967102	12.3070209692234	12.3076699404649	12.3070609562441	12.3071764048865	12.3071107705756	12.3070850240297	12.3071093255316
"AB007688_s_at"	12.3065312198524	12.3067066613166	12.3061406372958	12.3067356761063	12.3066015746413	12.3067497814566	12.3066901484045	12.3067934866471	12.3067344345513	12.3066016043415	12.3067523306651	12.3060027087307	12.3059081502867	12.3063286644589	12.3064355481351	12.3067347535407	12.3061504452677	12.306858403035	12.3068541957575	12.3068181773548
"AB008521_s_at"	12.3034032992042	12.3036420813684	12.3035386599296	12.3037003024922	12.303565382998	12.3038327719397	12.3038026014527	12.3039947080209	12.3037317419367	12.3036482449815	12.3037415781173	12.3028807079873	12.3028719994208	12.3033373327033	12.3033620081074	12.303614960923	12.3030231214371	12.3039484487778	12.3038345661694	12.3039194128759
"AB008538_at"	12.2974836228733	12.2987651467387	12.2981465428767	12.2973974608505	12.298109243412	12.2980277840053	12.2978019065975	12.2979577437533	12.2976968575825	12.2975456534728	12.2974764404548	12.2968847966411	12.2961231351665	12.2969773917038	12.2965463311916	12.2976389134224	12.2967053843192	12.2977588415306	12.2979905851277	12.2979958453949
"AB008752_at"	12.2997845725001	12.3004206253176	12.3004134148084	12.3005537563894	12.3004258523467	12.300781975927	12.3007299725014	12.3008779123289	12.3009299156589	12.300676932387	12.3008409793447	12.3001271109056	12.2998313729606	12.3003702512231	12.3004438823129	12.3006164338879	12.3002092913181	12.3006900046094	12.3009152245834	12.3008176966188
"AB008807_at"	12.2954896379039	12.2972249039317	12.2974148493558	12.2966093160758	12.2968275171226	12.2971034578933	12.2972870923337	12.2972699625569	12.2971430255369	12.296965321245	12.2969971501193	12.2962504431847	12.2965282972408	12.2962246163035	12.2968689749969	12.2975414883796	12.2960594189535	12.2970952430955	12.2972825995495	12.2972523122948
"AB008807_g_at"	12.2871279576288	12.2892968671506	12.2900063840914	12.288518249686	12.2887703290037	12.2891982776211	12.2896106906618	12.2894387146281	12.2895611324538	12.2894827436051	12.2893404807532	12.2886856923918	12.2894676045859	12.288388264843	12.289804225396	12.2900167874784	12.2888467899755	12.2889385968514	12.289489317905	12.2892424791077
"AB009463_g_at"	12.3030478733968	12.3031265572824	12.3036651973692	12.303176008962	12.3031482029127	12.3031080969589	12.3032065518572	12.3030663409247	12.3032151607449	12.3032375520357	12.3031744910018	12.3031201778919	12.3030630849009	12.3029858262884	12.3031214485883	12.3031767208756	12.3030655410047	12.3030670063433	12.303169352785	12.3031443843952
