	T504a	T05a	T05b	T504b	C05a	C05b	T05c	C05c	C504a	C0b	C504b	C05d	C0c	T05d
AA685152_r_at	9.50765908705724	9.78411311550126	9.6441807359809	9.81798691201654	10.1164372659365	9.44898727527982	9.99754427725967	9.55782428764587	9.98856458902007	9.75287734278814	9.86225376234266	9.54604467369398	10.1106838136063	9.09532708256805
AA685376_f_at	10.0833067933468	10.0986339245953	10.2040829661352	10.3160473111674	10.5720170137519	9.81750031179659	10.2075942570573	9.89265713667458	10.4776655838258	9.99622737901442	10.4011636670906	10.4533121181835	10.1936407577005	9.70884063618468
AA685876_at	11.2194739931535	11.2568556503927	11.0587976073314	11.4895596269765	11.4798771231126	10.8340999432187	11.3846309414092	10.9816941000754	11.5330179399167	11.1960566619052	11.3867655870921	11.0124645566054	11.4527934491969	11.526687461622
AA685903_at	11.5988088179497	10.4618774388717	10.7656750203634	11.1035643003582	11.0799329105676	10.8904638878825	11.2986433379448	10.2772496321595	11.2205834552105	11.0465171742142	11.0318412157045	10.561215421399	11.262266304682	10.6552748162211
AA686031_at	9.18345519518071	8.77815185764035	9.10267115747564	9.02624003516307	9.42838858750003	8.88013675910132	9.45851160940427	8.59825984181161	9.13316156171741	8.94018617193844	9.03019802291553	9.25329617536662	9.18388172982933	8.914263606848
AA686579_at	8.14051258268153	8.09648440093459	7.7139932150648	7.63642108936628	7.90860518097708	7.74483195124332	8.57876349800569	7.89860666910113	7.85941423713635	7.87311456326799	7.94557801884902	7.53706058765893	8.0837567235945	7.47078141048299
AA686743_at	7.86811782221727	7.82078452493535	8.12962423728529	7.87419705985533	7.9599058307389	7.94974574313116	7.77984867345851	8.35581935744496	8.10959949642918	7.90329354039675	7.97731093236752	8.08948414383418	7.83962125459812	8.71462620508378
AA686870_f_at	8.70790862684135	8.75723895659227	9.30661823544492	9.06509021691204	9.43668453232372	8.57062768106699	8.81605381978144	8.86849316234301	9.0315579814354	8.78257109714991	8.81525890797442	10.1216513567546	8.50923441312715	9.85780820938027
AA686870_i_at	8.39454846679876	8.22996432181663	8.08437453277767	8.85427062923125	8.48443047048428	8.27700334047768	8.69303080458649	8.29920800273918	8.9593305502815	8.51964190631242	8.99859425647366	8.13508796669196	8.22546551616349	8.0053577961704
AA799276_at	14.1628844827948	14.3798300662527	13.6074158916153	14.027949754353	13.4475212762867	14.7349419273952	14.5726728724127	14.5689135046606	14.3825750205232	14.5395220811909	14.490432874798	13.319010624153	14.3414299000216	13.4514604606619
AA799336_at	10.2877428933985	9.75815693625906	9.73835013768544	10.7240844646596	10.0444450552318	10.9604391768414	10.5562069943576	10.119929072109	9.36318882648428	10.2206823766263	10.1981095599365	9.41406067328645	10.2614100016806	9.69242100583527
AA799389_at	9.40024942512455	9.22977774707219	9.07660266543215	9.04058376531749	8.5088468479609	9.62140420542219	9.16745339103529	9.16884205159681	9.15910563019075	9.38199562972634	8.50285019241272	9.42976321711149	9.09076517562552	9.2414439346847
AA799389_g_at	12.1439102006654	12.1683696283665	11.8861160058501	11.8239205971603	11.6934017051769	12.3331584979155	11.8776990251831	12.3103163054513	11.9598413183571	12.1946335344164	11.5792381366179	11.7319467833192	11.9366474092865	11.8683049301997
AA801441_at	11.036003052923	10.5879639786072	10.1104566896341	10.3440586326989	10.1253299484668	10.9515134960366	10.4156733762624	10.7970659928452	10.7868027564647	11.0501389471396	10.5261739872702	9.89220818492923	10.7963296062185	10.3242046134301
AA819943_at	7.56819608642985	8.2185883853391	8.36925149373406	7.72931576348989	8.18236337346855	7.42624282767817	7.69309236403879	7.51683852868753	7.72537334256114	7.63361060362217	7.78428440471548	8.10381137642577	7.70438895854057	9.12703948824432
AA848218_at	10.7459245472974	10.4613359389863	10.4926901427201	10.4179001122265	10.4650528244809	10.4741949737406	10.7775492962409	10.3030198400266	10.5393655858706	10.8364908979513	10.7022527585174	10.4849559953491	10.578751013853	10.6726727745731
AA848268_at	10.9176491271852	10.5494069893142	10.5506489844753	10.4205324441755	10.4937178712233	10.4552916972424	11.0892414095119	9.86124777551668	10.8559234393623	10.8209758893302	10.7990224057534	9.94156636722394	10.6277739249234	9.84184044855016
AA848421_at	8.96751875181224	8.86506154200999	9.33849276926091	8.8272479027853	9.01174687931584	8.64591491125134	9.26735715368218	8.77729109580043	9.22443323310353	8.90335629177205	9.16697626408194	8.78167164922416	9.08120262653439	8.70794960740845
AA848546_at	11.0220654059608	10.7246592449832	11.418520867542	11.0028631202384	11.2230295863678	10.7908359152044	11.1084371466223	10.7830031205355	11.1584900029987	11.1640942022687	11.2328304702875	11.1548619886916	11.1632573060437	11.3550485938678
